# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:28	the Company	->	A' Chompanaidh	|	's young people south to the camps for the ration the Company gave its crews, which was mor
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:32	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	arity came, and did not plant that spring at all. The Mission's kitchen at the harbour, which
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Church's	->	An Eaglais's	|	 of grain was crossing from an Tìr Thall, sent by the Church's own people who had heard, fro
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:40	their Mission	->	Teachdaireachd na h-Eaglaise	|	h's own people who had heard, from the letters of their Mission, what was happening on the co
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Residency	->	Taigh an Àrd-mhaoir	|	e roads a full month with its holds unopened, for the Residency held that unloading and carri
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Company's	->	A' Chompanaidh's	|	e Residency held that unloading and carriage were the Company's charge, being the party whose
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Company	->	A' Chompanaidh	|	 the party whose Levy had emptied the fields, and the Company held that famine relief was t
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:40	the Administration's	->	Riaghaltas nan Coigreach's	|	elds, and the Company held that famine relief was the Administration's office and none of its own, b
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:42	the Administration	->	Riaghaltas nan Coigreach	|	who had made the crossing twice before with cargo the Administration wanted badly enough to have i
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:44	the Residency	->	Taigh an Àrd-mhaoir	|	She wrote to the Residency herself, once, a short letter
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:44	Commissioner	->	Àrd-mhaor	|	r consideration between the two offices, and that Commissioner Tolley had noted her concern.
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:48	the Residency	->	Taigh an Àrd-mhaoir	|	n the first days of the new year, when a clerk at the Residency and a clerk of the Company be
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:48	the Company	->	A' Chompanaidh	|	ear, when a clerk at the Residency and a clerk of the Company between them, and neither by 
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:48	the Mission	->	Teachdaireachd na h-Eaglaise	|	ut by cart in the following weeks to the kitchens the Mission had by then opened at Cathair
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:52	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	 summer with whatever the relief ship's grain and the Mission's own store could supply, stret
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:58	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	rivate book of her own at the kitchen, apart from the Mission's, with every name she fed writ
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:60	the Company	->	A' Chompanaidh	|	 behind them on the headland, whether she thought the Company knew what its Levy had done t
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:60	its Levy	->	An Togail	|	adland, whether she thought the Company knew what its Levy had done to the ploughing.
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:74	the Company's	->	A' Chompanaidh's	|	eneration had asked the beacon built against, and the Company's trade would falter, and perha
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:78	the Levy	->	An Togail	|	ocks below would drown men who had no more say in the Levy than Alasdair Ruadh had, deck
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:88	the Levy	->	An Togail	|	rked out how to feed themselves without the hands the Levy had never meant to give back.
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:88	The Levy	->	An Togail	|	, in the same plain hand he kept for everything: *The Levy read ended at Baile chrom thi
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:90	the Levy	->	An Togail	|	 in the summer of the ninety-seventh year, though the Levy was by then set aside, the wh
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:90	the Company's	->	A' Chompanaidh's	|	r, the old carried and the young walking, to take the Company's ration and the Company's work
CHANGE	eras/age_V/book/24_of_gorta_baile_chrom.md:90	the Company's	->	A' Chompanaidh's	|	e young walking, to take the Company's ration and the Company's work rather than starve waiti
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:13	the Residency	->	Taigh an Àrd-mhaoir	|	 time she had watched three things come down from the Residency wearing the shape of good new
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:15	the Company's	->	A' Chompanaidh's	|	It stood an hour's climb above Baile thais, where the Company's galleries went deepest and th
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:17	the Levy	->	An Togail	|	 household of Cill ghlas that had lost someone to the Levy, the fever, or the two winter
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:21	every Company store	->	every store of A' Chompanaidh	|	he asking, the tithe had gone up on the boards at every Company store from Baile thais to the coast
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:23	the Levy	->	An Togail	|	 the way the granary order had been let pass, and the Levy after it; and that he had it 
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:37	a Company store	->	a store of A' Chompanaidh	|	, on the coast below Coinneach Òg's own town, and a Company store beside it, the first store th
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:37	the Company's	->	A' Chompanaidh's	|	nst a bad year and tools against a broken one, on the Company's note, to be paid back in fish
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:37	the Levy's	->	An Togail's	|	ehind it, the hunger years and the two winters of the Levy's taking, and by now, Coinneach
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:43	the Levy	->	An Togail	|	apes of it: the granary, the store at Seann Dunn, the Levy that had taken hands from eve
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:49	the Residency	->	Taigh an Àrd-mhaoir	|	e voice at all, rather than each writing alone to the Residency and each being answered alone
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:49	the treaty	->	Cùmhnant Cathair dhearg	|	h had been the way of it since the first years of the treaty.
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:53	the Levy	->	An Togail	|	d without the asking that had been promised; that the Levy, though set aside in the dist
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:53	Commissioner's	->	Àrd-mhaor's	|	r been repealed and could be laid on again at any Commissioner's word; that the granary built 
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:53	the Company's	->	A' Chompanaidh's	|	store between the west and starving, and had been the Company's the whole time; and that the 
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:53	the Residency's	->	Taigh an Àrd-mhaoir's	|	uadh's clerk had found for it in an old letter of the Residency's own, for their council to be 
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:73	the Company's	->	A' Chompanaidh's	|	the capital as a girl: the harbour full of masts, the Company's sheds along the quay, and abo
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:83	the Residency's	->	Taigh an Àrd-mhaoir's	|	f their own, humans mostly, in the black coats of the Residency's clerks, and one or two Dia-th
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:105	The Levy	->	An Togail	|	 the rate it had been fixed at before the asking. The Levy stayed unrepealed on its shel
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:105	the Residency	->	Taigh an Àrd-mhaoir	|	 one another, for the first bad harvest that gave the Residency an excuse to take it down aga
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:105	the Residency	->	Taigh an Àrd-mhaoir	|	en into a petition or not. Aonghas Ruadh wrote to the Residency twice more, in his own name, 
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:107	the Levy	->	An Togail	|	 to it, none of them, this time, of the famine or the Levy, but of the ordinary business
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:111	the Levy	->	An Togail	|	s and answers not given, as it had burned through the Levy and the Green Death and the y
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:111	the Green Death	->	A' Phlàigh Uaine	|	 not given, as it had burned through the Levy and the Green Death and the years before either, 
CHANGE	eras/age_V/book/25_of_the_petition_on_the_bench.md:113	Commissioner's	->	Àrd-mhaor's	|	ed a world before the coin, would live to see any Commissioner's answer at all, or whether his
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:25	the Company's	->	A' Chompanaidh's	|	him besides coal, since the coal itself went into the Company's cart and was never seen again
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:33	the Levy	->	An Togail	|	It was a short thing, four verses on the Levy and what it had cost the vill
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:35	Company ground	->	A' Chompanaidh's ground	|	 it and told the song was not to be sung again on Company ground.
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:43	Company hand	->	A' Chompanaidh's hand	|	ld be shown to be forbidden, he made, in his neat Company hand, the only complete copy of Fe
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:43	the Company's	->	A' Chompanaidh's	|	it kept it only in their heads. It sits now among the Company's own confiscation orders, file
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:47	the Company's	->	A' Chompanaidh's	|	nn dhearg and the coast and had no more idea than the Company's clerk what they were carrying
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:49	six Company carters	->	six carters of A' Chompanaidh	|	ench with a cup he could barely afford, and heard six Company carters at the next table sing his ow
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:55	Company carters	->	A' Chompanaidh's carters	|	of her business to say so aloud in a room full of Company carters. It was as much acknowledgmen
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:59	The Company's	->	A' Chompanaidh's	|	The Company's new quay went up at Ros dhomh
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:76	the Company	->	A' Chompanaidh	|	p through the summer, drawn by cart from a quarry the Company had opened for the purpose, a
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:78	the Company	->	A' Chompanaidh	|	horter than the other and unfit for the face, and the Company had given him the gate as a k
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:84	the silver guild	->	Comann an Airgid	|	uileann chiar, an old woman by then, a refiner of the silver guild to the last day she could sta
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:86	the Company	->	A' Chompanaidh	|	 walk east to her burying, and were given it, and the Company docked every one of them a da
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:94	The Company's	->	A' Chompanaidh's	|	unnamed, though plainly they had someone in mind. The Company's own inquiry, when its finding
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:96	Company ground	->	A' Chompanaidh's ground	|	not tell them, and found that a song forbidden on Company ground could travel further inside t
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:96	the Company's	->	A' Chompanaidh's	|	den on Company ground could travel further inside the Company's own mouths than it had ever t
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:98	high custodian	->	Ceann a' Chùraim	|	 the capital and the coast: that Artair mac Iain, high custodian these twenty and four years, 
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:98	the Council of Custodians	->	Comhairle a' Chùraim	|	ead at Cathair dhearg, eighty years old, and that the Council of Custodians, called to choose the next as
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:100	high custodian's	->	Ceann a' Chùraim's	|	ch that followed, and the one after, with the old high custodian's chair left where it had alway
CHANGE	eras/age_V/book/26_of_fearchar_bards_songs.md:100	the Residency	->	Taigh an Àrd-mhaoir	|	say who had first said it, that Robert Haskins at the Residency had written home across the s
CHANGE	eras/age_V/book/27_of_the_long_drought.md:13	The Administration	->	Riaghaltas nan Coigreach	|	The Administration kept no count of its own. Ise
CHANGE	eras/age_V/book/27_of_the_long_drought.md:13	the Company	->	A' Chompanaidh	|	had asked at the pay office at Ceann mhin whether the Company meant to do anything for the 
CHANGE	eras/age_V/book/27_of_the_long_drought.md:21	the Administration	->	Riaghaltas nan Coigreach	|	ng it, the way she had begun to mark every answer the Administration gave her. She had ninety-one 
CHANGE	eras/age_V/book/27_of_the_long_drought.md:39	the Administration	->	Riaghaltas nan Coigreach	|	It was in that same summer that the Administration set a watchman at the spring,
CHANGE	eras/age_V/book/27_of_the_long_drought.md:47	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	The Mission's physician at Baile Mòr ruadh,
CHANGE	eras/age_V/book/27_of_the_long_drought.md:47	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	cannot now unknow, and it was his report, sent to the Mission's house at Cathair dhearg that 
CHANGE	eras/age_V/book/27_of_the_long_drought.md:49	The Mission	->	Teachdaireachd na h-Eaglaise	|	The Mission bored new wells at Achadh she
CHANGE	eras/age_V/book/27_of_the_long_drought.md:49	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	do without any of them having agreed to it aloud: the Mission's wells on one page, the Compan
CHANGE	eras/age_V/book/27_of_the_long_drought.md:49	the Company's	->	A' Chompanaidh's	|	eed to it aloud: the Mission's wells on one page, the Company's quota on the other, the quota
CHANGE	eras/age_V/book/27_of_the_long_drought.md:53	the Company's	->	A' Chompanaidh's	|	e he told his own mother, that he had signed with the Company's agent at Ceann mhin for a hew
CHANGE	eras/age_V/book/27_of_the_long_drought.md:63	the Company's	->	A' Chompanaidh's	|	hundred and ninth year, a single page asking that the Company's quota for the drought distric
CHANGE	eras/age_V/book/27_of_the_long_drought.md:65	The Residency	->	Taigh an Àrd-mhaoir	|	The Residency kept her waiting the better p
CHANGE	eras/age_V/book/27_of_the_long_drought.md:67	the Residency's	->	Taigh an Àrd-mhaoir's	|	eaning nothing at all for as long as anyone above the Residency's stair found it convenient tha
